일빵빵기초 (순발력),13,13
index,Category,Path,Unit,Lesson,Sentence,Translate,Question_File,Question_During,Answer1_File,Answer1_During,Answer2_File,Answer2_During
!int,!String,!String,!Int,!Int,!String,!String,!String,!Float,!String,!Float,!String,!Float
1,일빵빵 기초영어,26,26,26,다시 만들다.,make again,다시 만들다,2,make again,5,,0
2,일빵빵 기초영어,26,26,26,여기서 읽다,read here,여기서 읽다,2,read here,5.5,,0
3,일빵빵 기초영어,26,26,26,쫌더 쓰다,write more,쫌더 쓰다,2,write more,3,,0
4,일빵빵 기초영어,26,26,26,"함께 머물다는?",stay together,같이 머물다,2,stay together,1.5,,0
5,일빵빵 기초영어,26,26,26,숙제를 확인 하다.,check homework,숙제를 첵 하다,2,check homework,6,,0
6,일빵빵 기초영어,30,30,30,감기 걸리다.,have a cold,감기 걸리다,2,have a cold,5,,0
7,일빵빵 기초영어,30,30,30,문제가 발생하다.,have a problem,문제가 발생하다,2,have a problem,3,,0
8,일빵빵 기초영어,30,30,30,문제가 생기다.,have a problem,문제가 생기다,2,have a problem,3,,0
9,일빵빵 기초영어,30,30,30,빨래 하다.,Do the laundry,빨래 하다,2,Do the laundry,4,,0
10,일빵빵 기초영어,30,30,30,시간이 없다.,have no time,시간이 없다,2,have no time,3,,0
11,일빵빵 기초영어,30,30,30,전혀 모르다.,have no idea,전혀 모르다,2,have no idea,4,,0
12,일빵빵 기초영어,30,30,30,회의가 있다.,have a meeting,회의가 있다,3,have a meeting,3,,0
13,일빵빵 기초영어,30,30,30,회의를 하다.,have a meeting,회의를 하다,3,have a meeting,2,,0
일빵빵기초 (2630강),13,40
index,Category,Path,Unit,Lesson,Sentence,Translate,Question_File,Question_During,Answer1_File,Answer1_During,Answer2_File,Answer2_During
!int,!String,!String,!Int,!Int,!String,!String,!String,!Float,!String,!Float,!String,!Float
1,일빵빵 기초영어,26,26,26,다시 만들다,make again,다시 만들다,2,make again,5,,0
2,일빵빵 기초영어,26,26,26,여기서 읽다,read here,여기서 읽다,2,read here,5.5,,0
3,일빵빵 기초영어,26,26,26,쫌더 쓰다,write more,쫌더 쓰다,2,write more,3,,0
4,일빵빵 기초영어,26,26,26,"함께 머물다는?",stay together,같이 머물다,2,stay together,1.5,,0
5,일빵빵 기초영어,26,26,26,숙제를 확인 하다.,check homework,숙제를 첵 하다,2,check homework,6,,0
6,일빵빵 기초영어,30,30,30,감기 걸리다,have a cold,감기 걸리다,2,have a cold,5,,0
7,일빵빵 기초영어,30,30,30,걔 어쩌면 운동 하는지도 몰라,The boy might do exercise,걔 어쩌면 운동 하는지도 몰라,2,The boy might do exercise,3,,0
8,일빵빵 기초영어,30,30,30,걔 운동 하는지도 몰라,The boy may do exercise,걔 운동 하는지도 몰라,2,The boy may do exercise,3,,0
9,일빵빵 기초영어,30,30,30,그 남자 빨래 하는지 몰라요,The man may do the laundry,그 남자 빨래 하는지 몰라요,3,The man may do the laundry,3,,0
10,일빵빵 기초영어,30,30,30,그 사람 사업 하는지도 몰라,He may do business,그 사람 사업 하는지도 몰라,2,He may do business,3,,0
11,일빵빵 기초영어,30,30,30,그 사람 어쩌면 빨래 하는지도 모르겠어,The man might do the laundry,그 사람 어쩌면 빨래 하는지도 모르겠어,2,The man might do the laundry,4,,0
12,일빵빵 기초영어,30,30,30,그 사람 어쩌면 사업 하는지도 모르겠어,He might do business,그 사람 어쩌면 사업 하는지도 모르겠어,2,He might do business,4,,0
13,일빵빵 기초영어,30,30,30,그 여자 리포트 쓰는지도 몰라,She may do a paper,그 여자 리포트 쓰는지도 몰라,2,She may do a paper,5,,0
14,일빵빵 기초영어,30,30,30,그 여자애 숙제 했는지도 몰라,The girl may do homework,그 여자애 숙제 했는지도 몰라,2,The girl may do homework,5,,0
15,일빵빵 기초영어,30,30,30,그 여자애 어쩌면 리포트 쓰는지도 모르겠어,She might do a paper,그 여자애 어쩌면 리포트 쓰는지도 모르겠어,3,She might do a paper,3,,0
16,일빵빵 기초영어,30,30,30,그 여자애 어쩌면 숙제 한지도 모르겠어,The girl might do homework,그 여자애 어쩌면 숙제 한지도 모르겠어,4,The girl might do homework,3,,0
17,일빵빵 기초영어,30,30,30,나 감기 걸린지 모르겠어,I Have a cold,나 감기 걸린지 모르겠어,2,I Have a cold,5,,0
19,일빵빵 기초영어,30,30,30,나 시간 없는지 모르겠어,I may have no time,나 시간 없는지 모르겠어,2,I may have no time,3,,0
20,일빵빵 기초영어,30,30,30,나 어쩌면 문제 생긴건지도 몰라,I might have a problem,나 어쩌면 문제 생긴건지도 몰라,3,I might have a problem,3,,0
21,일빵빵 기초영어,30,30,30,나 어쩌면 문제가 생긴 건지도 몰라,I might have a problem,나 어쩌면 문제가 생긴 건지도 몰라,3,I might have a problem,3,,0
22,일빵빵 기초영어,30,30,30,나 어쩌면 시간 없는지 모르겠다,I might have no time,나 어쩌면 시간 없는지 모르겠다,3,I might have no time,3,,0
23,일빵빵 기초영어,30,30,30,나 전혀 모르는지도 몰라,I may have no idea,나 전혀 모르는지도 몰라,3,I may have no idea,3,,0
25,일빵빵 기초영어,30,30,30,나 전혀 몰라,I have no idea,나 전혀 몰라,2,I have no idea,3,,0
26,일빵빵 기초영어,30,30,30,나 회의 있는지 모르겠어,I may have a meeting,나 회의 있는지 모르겠어,3,I may have a meeting,3,,0
27,일빵빵 기초영어,30,30,30,나 회의 있는지도 몰라,I may have a meeting,나 회의 있는지도 몰라,3,I may have a meeting,2,,0
28,일빵빵 기초영어,30,30,30,나는 문제가 생긴 건지도 몰라,I may have a problem,나는 문제가 생긴 건지도 몰라,4,I may have a problem,3,,0
29,일빵빵 기초영어,30,30,30,나는 회의를 한다,I have a meeting,나는 회의를 한다,3,I have a meeting,3,,0
30,일빵빵 기초영어,30,30,30,문제가 발생하다,have a problem,문제가 발생하다,2,have a problem,3,,0
31,일빵빵 기초영어,30,30,30,문제가 생기다,have a problem,문제가 생기다,2,have a problem,3,,0
32,일빵빵 기초영어,30,30,30,빨래 하다,Do the laundry,빨래 하다,2,Do the laundry,4,,0
33,일빵빵 기초영어,30,30,30,시간이 없다,have no time,시간이 없다,2,have no time,3,,0
34,일빵빵 기초영어,30,30,30,어쩌면 감기 걸린지도 모르겠어,I might have a cold,어쩌면 감기 걸린지도 모르겠어,3,I might have a cold,3,,0
35,일빵빵 기초영어,30,30,30,어쩌면 나 시간 없는지도 몰라,I might have no time,어쩌면 나 시간 없는지도 몰라,3,I might have no time,3,,0
36,일빵빵 기초영어,30,30,30,어쩌면 나 회의 있을것 같은데,I might have a meeting,어쩌면 나 회의 있을것 같은데,3,I might have a meeting,3,,0
37,일빵빵 기초영어,30,30,30,어쩌면 전혀 모르는지도 모르겠어,I might have no idea,어쩌면 전혀 모르는지도 모르겠어,3,I might have no idea,2,,0
38,일빵빵 기초영어,30,30,30,어쩌면 회의 있는지 몰라,I might have a meeting,어쩌면 회의 있는지 몰라,3,I might have a meeting,3,,0
39,일빵빵 기초영어,30,30,30,전혀 모르다,have no idea,전혀 모르다,2,have no idea,4,,0
40,일빵빵 기초영어,30,30,30,회의 있는지 몰라,I may have a meeting,회의 있는지 몰라,3,I may have a meeting,3,,0
41,일빵빵 기초영어,30,30,30,회의가 있다,have a meeting,회의가 있다,3,have a meeting,3,,0
42,일빵빵 기초영어,30,30,30,회의를 하다,have a meeting,회의를 하다,3,have a meeting,2,,0
일빵빵기초 (110강),13,6
index,Category,Path,Unit,Lesson,Sentence,Translate,Question_File,Question_During,Answer1_File,Answer1_During,Answer2_File,Answer2_During
!int,!String,!String,!Int,!Int,!String,!String,!String,!Float,!String,!Float,!String,!Float
1,일빵빵 기초영어,110,110,381,내가 여기 와야 하기 때문에 너는 나를 기다려야해.,Since I have to come here you have to wait for me.,381_내가 여기 와야 하기 때문에 너는 나를 기다려야해,2,381_Since I have to come here you have to wait for me,,,0
2,일빵빵 기초영어,110,110,382,내가 여기 와야 하기 때문에 너는 나를 기다려야해(앞으로).,You have to wait for me since I have to come here.,382_내가 여기 와야 하기 때문에 너는 나를 기다려야해(앞으로),2,382_ You have to wait for me since I have to come here,,,0
3,일빵빵 기초영어,110,110,383,나는 돈이 없기 때문에 그표를 살 수 가 없어.,Sine I have no money I can't buy the ticket.,383_나는 돈이 없기 때문에 그표를 살 수 가 없어,2,383_Sine I have no money I can't buy the ticket,,,0
4,일빵빵 기초영어,110,110,384,내가 돈이 없기 때문에 그표를 살 수 가 없어(앞으로).,I can't buy the ticket since I have no money.,384_내가 돈이 없기 때문에 그표를 살 수 가 없어(앞으로),2,384_I can't buy the ticket since I have no money,,,0
5,일빵빵 기초영어,110,110,385,내가 바쁘기 때문에 그녀에게 전화를 할 수 가 없어.,Since I'm busy I can't call her.,385_내가 바쁘기 때문에 그녀에게 전화를 할 수 가 없어,2,385_Since I'm busy I can't call her,,,0
6,일빵빵 기초영어,110,110,386,내가 바쁘기 떄문에 그녀에게 전화를 할 수 가 없어 ( 앞으로).,I can't call her since I'm busy.,386_내가 바쁘기 떄문에 그녀에게 전화를 할 수 가 없어 ( 앞으로),2,386_I can't call her since I'm busy,,,0
